sat_path,svi_path,severity,description
000000_sat.png,000000_svi.png,Severe,"A street level photo of a narrow, dark asphalt road, appearing damp and reflecting the overcast sky. On both sides, the dense forest vegetation is severely damaged; trees are heavily defoliated with countless snapped, broken, and twisted branches forming a chaotic tangle. The ground beneath the trees is littered with a thick layer of fallen leaves, twigs, and woody debris, appearing muddy and waterlogged in places. To the left of the road, dark, stagnant floodwaters partially submerge the lowest tree trunks and dense undergrowth. The sky is a uniform grey, casting a muted and somber light over the scene, emphasizing the widespread devastation left by a powerful storm."
000001_sat.png,000001_svi.png,Severe,"A street level photo of a residential neighborhood severely impacted by a hurricane. The asphalt roads are completely submerged under dark, murky floodwaters, reflecting the bright sunlight from a clear blue sky. Numerous palm trees lining the road are snapped cleanly in half or completely stripped of their fronds, with only their leaning, bare trunks remaining. Piles of wet, green and brown vegetative debris are scattered along the submerged shoulders and in flooded yards. Residential houses with terracotta tile roofs appear mostly intact from this vantage, but their lower levels are clearly threatened or partially submerged by the extensive flooding."
000002_sat.png,000002_svi.png,Severe,"A street level photo of a severely damaged coastal neighborhood. The paved roads are nearly impassable, covered in a thick, wet layer of tangled, brown tree branches, uprooted vegetation, mud, and scattered building debris. Houses, many elevated on stilts, exhibit extensive damage; some roofs are completely torn away, exposing internal structures and open ceilings, while others show severe scarring and debris impact on their facades. All trees and foliage are completely defoliated and snapped, appearing as broken, skeletal remains of trunks and limbs, creating a chaotic brown landscape. The sky is overcast, casting a somber, diffused light over the scene, emphasizing the widespread devastation and desolation."
000003_sat.png,000003_svi.png,Moderate,"A street level photo of a coastal residential neighborhood immediately after a strong hurricane. The damp asphalt road is visible but heavily littered with wet, dark leaves, small broken branches, and muddy puddles. Houses appear structurally sound but show clear signs of damage: many roofs are discolored with patches of missing shingles, some windows are broken or show impact damage, and one house features a severely damaged or collapsed screened porch. The dense tropical vegetation is ravaged; trees are defoliated and appear skeletal with numerous snapped branches, and the ground on either side of the road is strewn with a thick layer of plant debris and fallen tree limbs. The sky is overcast and grey, casting a somber, muted light over the scene, conveying the humid and unsettled aftermath of a major storm."
000004_sat.png,000004_svi.png,Moderate,"A street level photo of a residential neighborhood after a severe tropical storm. The paved road is visible but bordered by deep piles of vegetative debris, including numerous snapped tree trunks and broken branches. Houses with mostly intact pitched roofs stand amidst the devastation, though minor roof damage or broken windows are visible. The surrounding environment is completely defoliated, with trees stripped bare of leaves and many standing as snapped, skeletal remains. In lower-lying areas, dark, muddy floodwater partially submerges vegetation and debris. The sky is overcast, casting a somber, diffused light on the scene of widespread natural destruction."
000005_sat.png,000005_svi.png,Severe,"A street level photo of a coastal residential area after a major hurricane, showing widespread devastation. The paved road is completely inundated with murky, brown floodwaters, densely packed with organic debris like broken tree limbs, stripped foliage, and scattered personal belongings. The ground adjacent to the road is muddy and covered in a thick layer of vegetative and structural debris. The houses, while their main roof structures largely remain, display signs of severe impact, including potential missing shingles, shattered windows, and accumulated wreckage around their foundations and porches. Beyond the immediate structures, the once-lush tropical vegetation is now a desolate, tangled expanse of skeletal, defoliated trees, many snapped at their trunks or completely uprooted, their bare branches forming a chaotic brown mass. The scene is illuminated by strong, clear post-storm sunlight, casting crisp shadows that highlight the extensive damage and the stillness of the aftermath."
000006_sat.png,000006_svi.png,Severe,"A street level photo of a hurricane-devastated coastal neighborhood. The paved roads are largely obscured by a thick layer of scattered brown leaves, snapped tree branches, and various organic debris. Off the road, the natural ground is completely blanketed by a dense, tangled mass of defoliated foliage, broken limbs, and bare, splintered tree trunks. Residential buildings, including one with a distinctive multi-peaked, terracotta-tiled roof, appear structurally standing but likely exhibit broken windows, damaged siding, and other exterior impacts. All surrounding vegetation is stripped bare and brown; trees are defoliated, many are snapped in half or leaning precariously, while palm trees are shredded and devoid of healthy fronds. The scene is illuminated by strong, clear sunlight, casting sharp shadows and indicating a calm, post-storm day with a clear or partly cloudy sky."
000007_sat.png,000007_svi.png,Moderate,"A street level photo of a coastal neighborhood after a significant storm. The paved road appears damp but largely passable, with moderate debris consisting of scattered tree branches, leaves, and smaller items pushed to the shoulders and curbs. Residential lawns are disheveled, with flattened, water-stained green grass and visible muddy patches, especially closer to the nearby body of water. Numerous palm trees are severely damaged; some are snapped at the base or mid-trunk, others are completely defoliated with only bare trunks remaining, adding to the debris in the yards. The houses, while largely intact structurally, show clear signs of roof damage with missing shingles and potential fascia board damage; some windows might be broken. Docks and boats along the adjacent canal or river appear to be in disarray, with some vessels potentially shifted or damaged. The overall atmosphere is one of post-storm recovery under a clearing yet still overcast sky, with the air feeling humid and the ground visibly damp."
000008_sat.png,000008_svi.png,Severe,"A street level photo of a severely hurricane-damaged rural road. The dark asphalt road is slick with standing water and coated in mud, strewn with scattered debris including broken tree limbs and defoliated fronds. On either side of the road, the once-dense tropical vegetation is utterly devastated; countless palm trees and other foliage are snapped, their trunks bare and twisted, forming immense piles of tangled, brown, woody debris that covers the waterlogged and muddy ground. A sturdy, block-like building with a dark, flat roof stands amidst the wreckage, its lower walls likely splattered with mud and surrounded by vegetative debris. The sky is heavily overcast and grey, casting a bleak, diffused light over the humid, post-storm devastation, emphasizing the desolation."
000009_sat.png,000009_svi.png,Severe,"A street level photo of a desolate, rural road running through a landscape heavily impacted by a severe storm. The asphalt road is damp and partially obscured by scattered light-colored debris, including sand and small branches, giving it a streaked, grimy texture. On both sides, the once-forested area is now a tangled expanse of severely defoliated trees, their bare, dark brown and grey branches and snapped trunks creating a chaotic, skeletal appearance. No intact green foliage is visible; all leaves have been stripped away. The ground immediately adjacent to the road appears muddy and waterlogged, blending into the dense undergrowth of broken vegetation. Utility poles are visible along the roadside, standing amidst the widespread natural devastation. The sky is overcast, casting a muted, gloomy light over the scene, emphasizing the widespread destruction."
